WORKTYPECODE,COUNTY,YEAR2018,YEAR2019,YEAR2020,B_Campo1,B_code,Description,Group,WTBIN1,WTBIN2,WTBIN3,WTBIN4,WTBIN5,WTBIN6,WTBIN7,WTBIN8,C_Campo1,District,No,C_code,Name,Unnamed: 5,CBIN1,CBIN2,CBIN3,CBIN4,CBIN5,CBIN6,CBIN7
2014,C031,1898,0,0,43,2014,Bridge New-Steel Girder,9,0,0,1,0,1,0,1,1,30,6,31,C031,Dubuque,Dubuque,0,0,1,1,1,1,0
2014,C052,0,30419,1412,43,2014,Bridge New-Steel Girder,9,0,0,1,0,1,0,1,1,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
2014,C077,0,16402,0,43,2014,Bridge New-Steel Girder,9,0,0,1,0,1,0,1,1,76,1,77,C077,Polk,Polk,1,0,0,1,1,0,0
2014,C078,70870,11400,48520,43,2014,Bridge New-Steel Girder,9,0,0,1,0,1,0,1,1,77,4,78,C078,Pottawattamie,Pottawattamie,1,0,0,1,1,0,1
2014,C082,0,0,2290,43,2014,Bridge New-Steel Girder,9,0,0,1,0,1,0,1,1,81,6,82,C082,Scott,Scott,1,0,1,0,0,0,1
2022,C011,1366,0,0,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,10,3,11,C011,Buena Vista,Buena Vista,0,0,0,1,0,1,0
2022,C017,0,0,3565,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,16,2,17,C017,Cerro Gordo,Cerro Gordo,0,0,1,0,0,0,0
2022,C047,0,1396,0,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,46,3,47,C047,Ida,Ida,0,1,0,1,1,1,0
2022,C052,0,810,0,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,51,6,52,C052,Johnson,Johnson,0,1,1,0,0,1,1
2022,C057,0,1781,0,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,56,6,57,C057,Linn,Linn,0,1,1,1,0,0,0
2022,C090,0,2312,0,45,2022,Bridge Replacement-CCS,9,0,0,1,0,1,1,0,1,89,5,90,C090,Wapello,Wapello,1,0,1,1,0,0,1
2023,C009,1472,0,0,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,8,2,9,C009,Bremer,Bremer,0,0,0,1,0,0,0
2023,C012,0,0,5345,46,2023,Bridge Replacement-PPCB,9,0,0,1,0,1,1,1,0,11,2,12,C012,Butler,Butler,0,0,0,1,0,1,1
